SlNo.	Rb	Nb	Ta	La	Ce	Nd	Sr	Sm	Ti	Eu	Gd	Tb	Dy	Y	Er	Yb	Lu	\nSng_0094	50.00	6.30	0.31	32.20	60.80	21.30	345.00	3.55	3537.10	0.81	2.49	0.27	1.16	5.60	0.33	0.20	0.03	\n
Sng_0106	80.00	7.70	0.45	53.50	98.50	30.00	273.00	4.65	2278.13	0.91	3.57	0.41	1.90	9.80	0.64	0.53	0.08	\n
Sng_0059	91.00	NaN	NaN	29.20	51.90	20.20	375.00	3.35	1570.71	0.87	2.42	0.30	1.41	7.70	0.64	0.63	0.09	\n
Sng_0008	85.00	8.00	NaN	34.00	59.00	23.10	494.00	4.10	1858.47	0.89	3.00	0.40	1.90	15.00	0.90	0.70	0.10	\n
Sng_0009	73.00	7.00	NaN	33.00	57.00	19.90	551.00	3.40	1978.38	0.81	2.60	0.33	1.50	14.00	0.70	0.40	0.06	\n
Sng_0040	42.00	3.00	0.30	81.80	136.00	38.90	661.00	4.80	2278.13	1.20	2.30	0.20	1.20	7.00	0.60	0.60	0.10	\n
Sng_0122	29.00	7.00	0.20	37.30	61.80	17.50	465.00	2.60	2098.28	0.83	1.80	0.20	0.90	4.00	0.30	0.30	0.05	\n
Sng_0126	55.00	6.00	0.40	29.20	52.60	14.50	435.00	1.90	1498.77	0.57	1.50	0.20	0.80	4.00	0.40	0.40	0.08	\n
Sng_0125	43.00	5.00	0.50	23.60	46.40	16.00	568.00	2.60	2098.28	0.78	2.00	0.20	1.20	6.00	0.50	0.40	0.07	\n
Sng_0119	46.00	3.00	1.60	44.90	82.20	26.20	612.00	3.50	3057.49	1.08	2.00	0.20	1.30	7.00	0.60	0.50	0.08	\n
Sng_0123	57.00	6.00	0.60	37.30	69.50	24.50	632.00	4.00	2577.88	1.08	3.00	0.40	1.70	8.00	0.80	0.70	0.09	\n
